"1009613","FUND","10","General Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:56
"1009613","FUND","12","Intermodal Surface Trans Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:56
"1009613","FUND","13","Providence River Relocation - Memorial Boulevard Extension Project Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:56
"1009613","FUND","14","Rhode Island Temporary Disability Insurance Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:56
"1009613","FUND","15","Rhode Island Underground Storage Tank Financial Responsibility Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:56
"1009613","FUND","16","Asset Forfeiture Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:56
"1009613","FUND","17","Tobacco Settlement Financing Trust Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:56
"1009613","FUND","20","DEBT SERVICE",,,,,,,,"N","N",,,12/14/2005 23:00:56
"1009613","FUND","22","Bond Capital Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","23","Rhode Island Clean Water Act Environmental Trust Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","26","Certificates Of Participation Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","27","Garvee/Motor Fuel Tax Bond Issues Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","40","State Lottery Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","42","Federal Surplus Property Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","43","Assessed Fringe Benefits Administration Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","44","Central Utilities Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","45","Energy Revolving Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","46","INFORMATION PROCESSING",,,,,,,,"N","N",,,12/14/2005 23:00:57
"1009613","FUND","47","Central Mail Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","48","Centrex Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","49","HOWARD COMMUNICATIONS",,,,,,,,"N","N",,,12/14/2005 23:00:57
"1009613","FUND","50","Central Pharmacy Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","51","Central Laundry Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","52","Automotive Maintenance Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","53","Central Distribution Center Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","54","Correctional Industries Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","55","Records Center Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","56","State Surplus Property Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","57","Active State Employees Health Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","60","STATE EMPLOYEES' RETIREMENT",,,,,,,,"N","N",,,12/14/2005 23:00:57
"1009613","FUND","61","STATE POLICE RETIREMENT BENEFITS TRUST",,,,,,,,"N","N",,,12/14/2005 23:00:57
"1009613","FUND","62","JUDICIAL RETIREMENT BENEFITS TRUST",,,,,,,,"N","N",,,12/14/2005 23:00:57
"1009613","FUND","63","MUNICIPAL EMPLOYEES' RETIREMENT",,,,,,,,"N","N",,,12/14/2005 23:00:57
"1009613","FUND","64","Employment Security Trust Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","68","Permanent School Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","69","Touro Jewish Synagogue Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","70","Statutory Deposits - Agency Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","75","University - Colleges Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","80","Rhode Island Higher Education Assistance Authority Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","81","Rhode Island Industrial-Recreational Building Authority Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","82","Rhode Island Public Telecommunications Authority Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","90","General Long-Term Debt Account Group Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009613","FUND","91","Asset Account Group Fund",,,,,,,,"N","Y",,,12/14/2005 23:00:57
"1009616","SOURCE","1",,,,,,,,,"N","N",,2/28/2006 0:00:00,12/14/2005 23:03:40
"1009616","SOURCE","2",,,,,,,,,"N","N",,2/28/2006 0:00:00,12/14/2005 23:03:40
"1009616","SOURCE","3",,,,,,,,,"N","N",,2/28/2006 0:00:00,12/14/2005 23:03:40
